Location_Name,Address_Line_1,State,Zipcode,Extended_Address
Jan Hus Church,351 East 74th Street,NY,10021,"Jan Hus Church,351 East 74th Street,2nd Floor,Betw 1st & 2nd Avenues,10021"
Manhattan Church of Christ,48 East 80th Street,NY,10021,"Manhattan Church of Christ,48 East 80th Street,2nd Floor Library,Ring Bell Next to Sign.,Betw Park & Madison Avenues,10021"
St. Jean Baptiste Church,184 East 76th Street,NY,10021,"St. Jean Baptiste Church,184 East 76th Street,Basement,Betw Lexington & 3rd Avenues,Ring Bell,NY 10021"
Jan Hus Church,351 East 74th Street,NY,10021,"Jan Hus Church,351 East 74th Street,2nd Floor,Betw. 1st & 2nd Avenues,10021"
Church of the Epiphany,1393 York Avenue,NY,10021,"Church of the Epiphany,1393 York Avenue,@ 74th Street,10021"
Christ United Methodist Church,520 Park Avenue,NY,10021,"Christ United Methodist Church,520 Park Avenue,@ 60th Street,NY 10021"
Archdiocian Cathedral of the Holy Trinity,337 East 74th St.,NY,10021,"Archdiocian Cathedral of the Holy Trinity,337 East 74th St.,Between First and Second Avenues,10021"
All Souls Church,1157 Lexington Avenue,NY,10075,"All Souls Church,1157 Lexington Avenue,between 79th and 80th Streets,10075"
Gracie Square Hospital,420 East 76th Street,NY,10021,"Gracie Square Hospital,420 East 76th Street,Betw 1st & York Avenues,NY 10021"
Our Lady of Good Counsel Church,230 East 90th Street,NY,10128,"Our Lady of Good Counsel Church,230 East 90th Street,Downstairs,Betw 2nd & 3rd Avenues,NY 10128"
St. Thomas More Church,65 East 89th Street,NY,10128,"St. Thomas More Church,65 East 89th Street,Basement,@ Park & Madison Avenues,NY 10128"
St. James Episcopal Church,865 Madison Avenue,NY,10021,"St. James Episcopal Church,865 Madison Avenue,Basement,@ East 71st Street,NY 10021"
Immanuel Lutheran Church,1296 Lexington Avenue,NY,10128,"Immanuel Lutheran Church,1296 Lexington Avenue,Basement,Enter through red door on Lexington Avenue,Betw 87th & 88th Streets,NY 10128"
Jan Hus Church,351 East 74th Street,NY,10021,"Jan Hus Church,351 East 74th Street,Mazaryk Room,Betw. 1st & 2nd Avenues,NY 10021"
