Location_Name,Address_Line_1,City,State,Zipcode,Extended_Address,Latitude,Longitude,Score,Zone,Meeting_Name,Details,Day,Start,End,Type,SpecialInterest
"Harlem Children's Zone Admin. Offices",35 East 125 Street,New York,NY,10035,"35 East 125 Street,1st Floor Conference Room,Madison Avenue,10035",40.805958,-73.940763,100,09,"125","undefined",Saturdays,4:15 PM,5:30 PM,B,undefined
"Peter Jay Sharpe Building",223 East 117th Street,New York,NY,10035,"223 East 117th Street,1st Floor Dining Room,Betw. 2nd & 3rd Avenues,NY 10035",40.7982106,-73.9382769,100,09,"East Harlem","undefined",Tuesdays,6:30 PM,7:30 PM,B,undefined
"2126 2nd Avenue",2126 2nd Avenue,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.7927121,-73.94069,100,09,"Grupo Nueva Vida","undefined",Sundays,5:00 PM,6:00 PM,OD,undefined
"2126 2nd Avenue",2126 2nd Avenue,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.7927121,-73.94069,100,09,"Grupo Nueva Vida","undefined",Mondays,8:00 PM,9:00 PM,B,undefined
"2126 2nd Avenue",2126 2nd Avenue,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.7927121,-73.94069,100,09,"Grupo Nueva Vida","undefined",Tuesdays,8:00 PM,9:00 PM,OD,undefined
"2126 2nd Avenue",2126 2nd Avenue,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.7927121,-73.94069,100,09,"Grupo Nueva Vida","undefined",Wednesdays,8:00 PM,9:00 PM,C,undefined
"2126 2nd Avenue",2126 2nd Avenue,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.7927121,-73.94069,100,09,"Grupo Nueva Vida","undefined",Thursdays,8:00 PM,9:00 PM,OD,undefined
"2126 2nd Avenue",2126 2nd Avenue,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.7927121,-73.94069,100,09,"Grupo Nueva Vida","undefined",Fridays,8:00 PM,9:00 PM,OD,undefined
"2126 2nd Avenue",2126 2nd Avenue,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.7927121,-73.94069,100,09,"Grupo Nueva Vida","undefined",Saturdays,8:00 PM,9:00 PM,OD,undefined
"Veterans Residence",22 East 119th Street,New York,NY,10035,"22 East 119th Street,1st Floor Cafeteria,Betw. Madison & 5th Avenues,NY 10035",40.8021458,-73.9442327,100,09,"Harlem 1 Pm Recovery","undefined",Sundays,1:00 PM,2:00 PM,T,undefined
"Veterans Residence",22 East 119th Street,New York,NY,10035,"22 East 119th Street,1st Floor Cafeteria,Betw. Madison & 5th Avenues,NY 10035",40.8021458,-73.9442327,100,09,"Harlem 1 Pm Recovery","undefined",Mondays,1:00 PM,2:00 PM,B,undefined
"St Andrews Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Rectory Basement,Between Duane and Pearl Streets,10007",40.7132514,-74.002398,100,01,"A Design For Living","undefined",Thursdays,7:00 AM,8:00 AM,OD,undefined
"St Andrews Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Rectory Basement,Between Duane and Pearl Streets,10007",40.7132514,-74.002398,100,01,"A Design For Living","undefined",Tuesdays,7:00 AM,8:00 AM,B,undefined
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Chambers Street","undefined",Mondays,12:15 PM,1:15 PM,OD,undefined
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Chambers Street","undefined",Wednesdays,12:15 PM,1:15 PM,S,undefined
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Chambers Street","undefined",Thursdays,12:15 PM,1:15 PM,B,undefined
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Chambers Street","undefined",Fridays,12:15 PM,1:15 PM,BB,undefined
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Friday Downtown","undefined",Fridays,6:00 PM,7:00 PM,OD,undefined
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Passing The Bar","undefined",Mondays,1:15 PM,2:15 PM,B,undefined
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Passing The Bar","undefined",Tuesdays,1:15 PM,2:15 PM,C,undefined
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Passing The Bar","undefined",Wednesdays,1:15 PM,2:15 PM,C,undefined
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Passing The Bar","undefined",Thursdays,1:15 PM,2:15 PM,S,undefined
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Passing The Bar","undefined",Fridays,1:15 PM,2:15 PM,BB,undefined
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Women's Downtown Aa Step Meeting","undefined",Wednesdays,1:15 PM,2:15 PM,S,undefined
"Church of the Transfiguration",29 Mott Street,New York,NY,10013,"29 Mott Street,Basement,Mott & Mosco Streets,NY 10013",40.7147965,-73.9990363,100,01,"Chinatown","undefined",Tuesdays,6:30 PM,7:30 PM,C,undefined
"St. Margaret's Residence",49 Fulton Street,New York,NY,10038,"49 Fulton Street,1st Floor Library,Pearl Street,10038",40.7080393,-74.0042361,100,01,"Downtown","undefined",Mondays,7:00 PM,8:00 PM,OD,undefined
"44 John Street",44 John Street,New York,NY,10038,"44 John Street,between Nassau and William 10038",40.7091732,-74.0080677,100,01,"Exchange Views @ John Street Church","undefined",Mondays,12:15 PM,1:15 PM,OD,undefined
"44 John Street",44 John Street,New York,NY,10038,"44 John Street,between Nassau and William 10038",40.7091732,-74.0080677,100,01,"Exchange Views @ John Street Church","undefined",Tuesdays,12:15 PM,1:15 PM,S,undefined
"44 John Street",44 John Street,New York,NY,10038,"44 John Street,between Nassau and William 10038",40.7091732,-74.0080677,100,01,"Exchange Views @ John Street Church","undefined",Thursdays,12:15 PM,1:15 PM,OD,undefined
"44 John Street",44 John Street,New York,NY,10038,"44 John Street,between Nassau and William 10038",40.7091732,-74.0080677,100,01,"Exchange Views @ John Street Church","undefined",Mondays,1:30 PM,2:30 PM,B,undefined
"44 John Street",44 John Street,New York,NY,10038,"44 John Street,between Nassau and William 10038",40.7091732,-74.0080677,100,01,"Exchange Views @ John Street Church","undefined",Thursdays,1:30 PM,2:30 PM,S,undefined
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House","undefined",Mondays,6:30 AM,7:30 AM,C,undefined
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House","undefined",Tuesdays,6:30 AM,7:30 AM,C,undefined
"49 Fulton Street",49 Fulton Street,New York,NY,10038,"49 Fulton Street,near Water 10038",40.7080393,-74.0042361,100,01,"Exchange Views @ St. Margaret's House","undefined",Wednesdays,6:30 AM,7:30 AM,C,undefined
