matchScore,street,city,state,zip,name,line_1,state,zip
94.792899408284,283 W BROADWAY New York NY 10013,New York,NY,10013,"Hazelden Center",283 West Broadway,NY,10013
99.4674556213018,22 BARCLAY ST New York NY 10006,New York,NY,10006,"St. Peter's Church",22 Barclay Street,NY,10006
94.792899408284,283 W BROADWAY New York NY 10013,New York,NY,10013,"Hazelden Center",283 West Broadway,NY,10013
99.4674556213018,469 W 142ND ST New York NY 10037,New York,NY,10037,"Our Lady of Lourdes Church",469 West 142nd Street,NY,10037
98.9349112426035,91 ARDEN ST New York NY 10034,New York,NY,10034,"Our Lady Queen of Martyrs",91 Arden Street,NY,10034
99.4674556213018,310 W 139TH ST New York NY 10037,New York,NY,10037,"Grace Congregational Baptist Church",310 West 139th Street,NY,10037
94.0828402366864,701 W 168TH STREET FORT WASHINGTON AVE New York NY 10032,New York,NY,10032,"Columbia Presbyterian Hospital",701 West 168th Street @ Fort Washington Avenue,NY,10032
96.8673860076575,2044 ADAM CLAYTON POWELL BLVD New York NY 10027,New York,NY,10027,"Spiritual Renewal Church",2044 Adam Clayton Powell Blvd.,NY,10027
96.6715976331361,20 CUMMINGS ST New York NY 10034,New York,NY,10034,"Holy Trinity Church",20 Cummings Street,NY,10034
98.9349112426035,91 ARDEN ST New York NY 10034,New York,NY,10034,"Our Lady Queen of Martyrs",91 Arden Street,NY,10034
60,502 WEST165TH ST New York NY 10032,New York,NY,10032,"Church Santa Rosa de Lima",502 West165th Street,NY,10032
94.792899408284,283 W BROADWAY New York NY 10013,New York,NY,10013,"Hazelden Center",283 West Broadway,NY,10013
94.792899408284,30 E 35TH ST New York NY 10016,New York,NY,10016,"30 East 35th Street",30 East 35th Street,NY,10016
97.3372781065089,22 BARCLAY ST New York NY ,New York,NY,,"St. Peter's Church",22 Barclay Street,NY,
99.4674556213018,240 W 145TH ST New York NY 10039,New York,NY,10039,"Union Baptist Church",240 West 145th Street,NY,10039
94.792899408284,283 W BROADWAY New York NY 10013,New York,NY,10013,"Hazelden Tribeca",283 West Broadway,NY,10013
98.9349112426035,715 W 179TH ST New York NY 10040,New York,NY,10040,"Holy Rood Church",715 West 179th Street,NY,10040
97.6331360946746,61 GRAMERCY PARK N New York NY 10010,New York,NY,10010,"Calvary Church Parish House",61 Gramercy Park North,NY,10010
98.9349112426035,520 PARK AVE New York NY 10021,New York,NY,10021,"Christ United Methodist Church",520 Park Avenue,NY,10021
60,189TH ST New York NY 10040,New York,NY,10040,"Cornerstone Center",189th Street & Bennett Avenue,NY,10040
94.792899408284,28 E 35TH ST New York NY 10016,New York,NY,10016,"J.H. Holmes Community House",28 East 35th Street,NY,10016
95.9763313609467,28 GRAMMERCY PARK S New York NY 10010,New York,NY,10010,"Brothhood Synagogue",28 Grammercy Park South,NY,10010
94.792899408284,283 W BROADWAY New York NY 10013,New York,NY,10013,"Tribeca 12 Building",283 West Broadway,NY,10013
99.4674556213018,273 BOWERY New York NY 10003,New York,NY,10003,"University Settlement House",273 Bowery,NY,10003
98.9349112426035,48 E 80TH ST New York NY 10021,New York,NY,10021,"Manhattan Church of Christ",48 East 80th Street,NY,10021
60,CHURCH OF THE GOOD SHEPARD 543 MAIN ST New York NY 10044,New York,NY,10044,"Church of the Good Shepard 543 Main St.",Church of the Good Shepard 543 Main St.,NY,10044
91.9526627218935,175 9TH AVE New York NY 10011,New York,NY,10011,"General Theological Seminary",175 9th Avenue,NY,10011
98.9349112426035,239 E 21ST ST New York NY 10009,New York,NY,10009,"Epiphany Roman Catholic Church",239 East 21st Street,NY,10009
